1, State-gov,77516, Bachelors,13, Adm-clerical,2174,0,40, <=50K
66, Private,155537, HS-grad,9, Craft-repair,0,0,40, <=50K
67, Private,183175, Some-college,10, Adm-clerical,0,0,40, <=50K
68, Private,169846, HS-grad,9, Adm-clerical,0,0,40, >50K
69, Self-emp-inc,191681, Some-college,10, Exec-managerial,0,0,50, >50K
70, ?,200681, Some-college,10, ?,0,0,40, <=50K
71, Private,101509, Some-college,10, Prof-specialty,0,0,32, <=50K
72, Private,309974, Bachelors,13, Sales,0,0,40, <=50K
73, Self-emp-not-inc,162298, Bachelors,13, Sales,0,0,70, >50K
74, Private,211678, Some-college,10, Machine-op-inspct,0,0,40, <=50K
75, Private,124744, Some-college,10, Prof-specialty,0,0,20, <=50K
76, Private,213921, HS-grad,9, Other-service,0,0,40, <=50K
77, Private,32214, Assoc-acdm,12, Adm-clerical,0,0,40, <=50K
78, ?,212759, 10th,6, ?,0,0,2, <=50K
79, Private,309634, 11th,7, Other-service,0,0,22, <=50K
80, Local-gov,125927, 7th-8th,4, Farming-fishing,0,0,40, <=50K
81, Private,446839, HS-grad,9, Sales,0,0,30, <=50K
82, Private,276515, Bachelors,13, Other-service,0,0,40, <=50K
83, Private,51618, HS-grad,9, Other-service,0,0,40, <=50K
84, Private,159937, HS-grad,9, Sales,0,0,48, <=50K
85, Private,343591, HS-grad,9, Craft-repair,14344,0,40, >50K
86, Private,346253, HS-grad,9, Sales,0,0,35, <=50K
87, Local-gov,268234, HS-grad,9, Protective-serv,0,0,40, >50K
88, Private,202051, Masters,14, Prof-specialty,0,0,50, <=50K
89, Private,54334, 9th,5, Sales,0,0,40, <=50K
90, Federal-gov,410867, Doctorate,16, Prof-specialty,0,0,50, >50K
91, Private,249977, Assoc-voc,11, Prof-specialty,0,0,40, <=50K
92, Private,286730, Some-college,10, Craft-repair,0,0,40, <=50K
93, Private,212563, Some-college,10, Machine-op-inspct,0,0,25, <=50K
94, Private,117747, HS-grad,9, Sales,0,1573,35, <=50K
95, Local-gov,226296, Bachelors,13, Protective-serv,0,0,40, >50K
96, Local-gov,115585, Some-college,10, Handlers-cleaners,0,0,50, <=50K
97, Self-emp-not-inc,191277, Doctorate,16, Prof-specialty,0,1902,60, >50K
98, Private,202683, Some-college,10, Sales,0,0,48, >50K
99, Private,171095, Assoc-acdm,12, Exec-managerial,0,0,40, <=50K
100, Federal-gov,249409, HS-grad,9, Other-service,0,0,40, <=50K
101, Private,124191, Masters,14, Exec-managerial,0,0,40, >50K
102, Private,198282, Bachelors,13, Exec-managerial,15024,0,60, >50K
103, Self-emp-not-inc,149116, Masters,14, Prof-specialty,0,0,50, <=50K
104, Private,188300, Some-college,10, Tech-support,0,0,40, <=50K
105, Private,103432, HS-grad,9, Craft-repair,0,0,40, <=50K
106, Self-emp-inc,317660, HS-grad,9, Craft-repair,7688,0,40, >50K
107, ?,304873, 10th,6, ?,34095,0,32, <=50K
108, Private,194901, 11th,7, Handlers-cleaners,0,0,40, <=50K
109, Local-gov,189265, HS-grad,9, Adm-clerical,0,0,40, <=50K
110, Private,124692, HS-grad,9, Handlers-cleaners,0,0,40, <=50K
111, Private,432376, Bachelors,13, Sales,0,0,40, <=50K
112, Private,65324, Prof-school,15, Prof-specialty,0,0,40, >50K
113, Self-emp-not-inc,335605, HS-grad,9, Other-service,0,1887,50, >50K
114, Private,377869, Some-college,10, Sales,4064,0,25, <=50K
115, Private,102864, HS-grad,9, Machine-op-inspct,0,0,40, <=50K
116, Private,95647, 9th,5, Handlers-cleaners,0,0,50, <=50K
117, Self-emp-inc,303090, Some-college,10, Sales,0,0,50, <=50K
118, Local-gov,197371, Assoc-voc,11, Craft-repair,0,0,40, >50K
119, Private,247552, Some-college,10, Sales,0,0,56, <=50K
120, Private,102632, HS-grad,9, Craft-repair,0,0,41, <=50K
121, Private,199915, Some-college,10, Other-service,0,0,40, <=50K
122, Private,118853, Bachelors,13, Exec-managerial,0,0,60, <=50K
123, Private,77143, Bachelors,13, Exec-managerial,0,0,40, <=50K
124, State-gov,267989, Bachelors,13, Prof-specialty,0,0,50, >50K
125, Private,301606, Some-college,10, Other-service,0,0,35, <=50K
126, Private,287828, Bachelors,13, Exec-managerial,0,0,40, >50K
127, Private,111697, Some-college,10, Adm-clerical,0,1719,28, <=50K
128, Private,114937, Assoc-acdm,12, Adm-clerical,0,0,40, >50K
129, ?,129305, HS-grad,9, ?,0,0,40, <=50K
130, Private,365739, Some-college,10, Craft-repair,0,0,40, <=50K
131, Private,69621, Assoc-acdm,12, Sales,0,0,60, <=50K
132, Private,43323, HS-grad,9, Other-service,0,1762,40, <=50K
133, Self-emp-not-inc,120985, HS-grad,9, Craft-repair,4386,0,35, <=50K
134, Private,254202, Bachelors,13, Sales,0,0,50, <=50K
135, Private,146195, Assoc-acdm,12, Tech-support,0,0,36, <=50K
136, Federal-gov,125933, Masters,14, Prof-specialty,0,0,40, >50K
137, Self-emp-not-inc,56920, HS-grad,9, Craft-repair,0,0,60, <=50K
138, Private,163127, Assoc-voc,11, Adm-clerical,0,0,35, <=50K
139, Private,34310, Some-college,10, Sales,0,0,20, <=50K
140, Private,81973, Some-college,10, Craft-repair,0,0,40, >50K
141, Self-emp-inc,66614, HS-grad,9, Craft-repair,0,0,40, <=50K
142, Private,232782, Some-college,10, Sales,0,0,40, <=50K
143, Private,316868, Some-college,10, Other-service,0,0,30, <=50K
144, Private,196584, Assoc-voc,11, Prof-specialty,0,1564,40, >50K
145, Private,105376, Some-college,10, Tech-support,0,0,40, <=50K
146, Private,185814, HS-grad,9, Transport-moving,0,0,30, <=50K
147, Private,175374, Some-college,10, Other-service,0,0,24, <=50K
148, Private,108293, HS-grad,9, Other-service,0,0,24, <=50K
149, Private,181232, 11th,7, Craft-repair,0,2179,40, <=50K
150, ?,174662, Some-college,10, ?,0,0,40, <=50K
151, Local-gov,186009, Some-college,10, Adm-clerical,0,0,38, <=50K
152, Private,198183, HS-grad,9, Adm-clerical,0,0,40, <=50K
153, Private,163003, Bachelors,13, Exec-managerial,0,0,40, <=50K
154, Private,296158, HS-grad,9, Craft-repair,0,0,35, <=50K
155, ?,252903, HS-grad,9, ?,0,0,45, >50K
156, Private,187715, HS-grad,9, Craft-repair,0,0,46, <=50K
157, Private,214542, Bachelors,13, Handlers-cleaners,0,0,40, <=50K
158, Self-emp-not-inc,494223, Some-college,10, Sales,0,1816,2, <=50K
159, Private,191535, HS-grad,9, Craft-repair,0,0,60, <=50K
160, Private,228456, Bachelors,13, Other-service,0,0,50, <=50K
161, ?,38317, 1st-4th,2, ?,0,0,20, <=50K
162, Private,252752, HS-grad,9, Other-service,0,0,40, <=50K
163, Self-emp-inc,78374, Masters,14, Exec-managerial,0,0,40, <=50K
164, Private,88419, HS-grad,9, Exec-managerial,0,0,40, <=50K
165, Self-emp-not-inc,201080, Masters,14, Sales,0,0,40, >50K
166, Private,207157, Some-college,10, Other-service,0,0,40, <=50K
167, Federal-gov,235485, Assoc-acdm,12, Exec-managerial,0,0,42, <=50K
168, State-gov,102628, Masters,14, Protective-serv,0,0,40, <=50K
169, Private,25828, 11th,7, Handlers-cleaners,0,0,16, <=50K
170, Local-gov,54826, Assoc-voc,11, Prof-specialty,0,0,20, <=50K
171, Private,124953, HS-grad,9, Other-service,0,1980,40, <=50K
172, State-gov,175325, HS-grad,9, Protective-serv,0,0,40, <=50K
173, Private,96062, Some-college,10, Sales,0,1977,40, >50K
174, Private,428030, Bachelors,13, Craft-repair,0,0,50, <=50K
175, State-gov,149624, Bachelors,13, Prof-specialty,0,0,40, >50K
176, Private,253814, HS-grad,9, Sales,0,0,25, <=50K
177, Private,312956, HS-grad,9, Craft-repair,0,0,40, <=50K
178, Private,483777, HS-grad,9, Handlers-cleaners,0,0,40, <=50K
179, Private,183930, HS-grad,9, Other-service,0,0,12, <=50K
180, Private,37274, Bachelors,13, Prof-specialty,0,0,65, <=50K
181, Local-gov,181344, Some-college,10, Exec-managerial,0,0,38, >50K
182, Private,114580, Some-college,10, Adm-clerical,0,0,40, <=50K
183, Private,633742, Some-college,10, Craft-repair,0,0,45, <=50K
184, Private,286370, 7th-8th,4, Machine-op-inspct,0,0,40, >50K
185, Federal-gov,29054, Some-college,10, Adm-clerical,0,0,42, >50K
186, Private,304030, HS-grad,9, Adm-clerical,0,0,40, <=50K
187, Self-emp-not-inc,143129, Bachelors,13, Exec-managerial,0,0,40, <=50K
188, ?,135105, Bachelors,13, ?,0,0,50, <=50K
189, Private,99928, Masters,14, Prof-specialty,0,0,50, <=50K
190, State-gov,109567, Doctorate,16, Prof-specialty,0,0,1, >50K
191, Private,155222, Some-college,10, Machine-op-inspct,0,0,28, <=50K
192, Private,159567, Some-college,10, Machine-op-inspct,0,0,40, <=50K
193, Local-gov,523910, Bachelors,13, Craft-repair,0,0,40, <=50K
194, Private,120939, Some-college,10, Tech-support,0,0,45, <=50K
195, Federal-gov,130760, Bachelors,13, Tech-support,0,0,24, <=50K
196, Private,197387, 5th-6th,3, Transport-moving,0,0,40, <=50K
197, Private,99374, Some-college,10, Craft-repair,0,0,40, <=50K
198, Federal-gov,56795, Masters,14, Exec-managerial,14084,0,55, >50K
199, Private,138992, Masters,14, Prof-specialty,7298,0,40, >50K
200, Self-emp-not-inc,32921, HS-grad,9, Sales,0,0,40, <=50K
201, Private,397317, Masters,14, Prof-specialty,0,1876,40, <=50K
202, ?,170653, HS-grad,9, ?,0,0,40, <=50K
203, Private,259323, Bachelors,13, Exec-managerial,0,0,50, >50K
204, Local-gov,254817, Some-college,10, Prof-specialty,0,1340,40, <=50K
205, State-gov,48211, HS-grad,9, Adm-clerical,0,0,35, <=50K
206, Private,140164, 11th,7, Sales,0,0,40, <=50K
207, Private,128757, Bachelors,13, Other-service,7298,0,36, >50K
208, Private,36270, HS-grad,9, Craft-repair,0,0,60, <=50K
209, Self-emp-inc,210563, HS-grad,9, Sales,15024,0,35, >50K
210, Private,65368, 11th,7, Sales,0,0,12, <=50K
211, Local-gov,160943, HS-grad,9, Transport-moving,0,0,40, <=50K
212, Private,208358, HS-grad,9, Craft-repair,0,0,40, >50K
213, Private,153790, Some-college,10, Sales,0,0,40, <=50K
214, Private,85815, HS-grad,9, Craft-repair,0,0,40, <=50K
215, Self-emp-inc,125417, 7th-8th,4, Machine-op-inspct,0,0,40, >50K
216, Private,635913, Bachelors,13, Exec-managerial,0,0,60, >50K
217, Private,313321, Assoc-acdm,12, Sales,0,0,40, <=50K
218, Private,182609, Bachelors,13, Sales,0,0,50, <=50K
219, Private,109434, Bachelors,13, Prof-specialty,0,0,55, <=50K
220, Private,255004, 10th,6, Craft-repair,0,0,40, <=50K
221, Private,197860, Some-college,10, Handlers-cleaners,0,0,40, <=50K
222, ?,187656, 1st-4th,2, ?,0,0,40, <=50K
223, Private,51744, HS-grad,9, Other-service,0,2206,40, <=50K
224, Private,176681, HS-grad,9, Adm-clerical,0,0,20, <=50K
225, Local-gov,140359, Preschool,1, Machine-op-inspct,0,0,35, <=50K
226, Private,243313, HS-grad,9, Sales,0,0,40, <=50K
227, ?,24215, 10th,6, ?,0,0,10, <=50K
228, Self-emp-not-inc,167687, HS-grad,9, Farming-fishing,1409,0,50, <=50K
229, Private,314209, Assoc-voc,11, Adm-clerical,0,0,20, <=50K
230, Private,176796, HS-grad,9, Adm-clerical,0,0,40, <=50K
231, Private,538583, 11th,7, Transport-moving,3674,0,40, <=50K
232, Private,130408, HS-grad,9, Sales,0,0,38, <=50K
233, Private,159732, Some-college,10, Adm-clerical,0,0,42, <=50K
234, Private,110978, Some-college,10, Craft-repair,0,0,40, <=50K
235, Private,76714, Prof-school,15, Prof-specialty,0,0,55, >50K
236, State-gov,268700, HS-grad,9, Other-service,0,0,40, <=50K
237, State-gov,170525, Some-college,10, Adm-clerical,0,0,38, <=50K
238, Private,180138, Bachelors,13, Exec-managerial,0,0,50, >50K
239, Local-gov,115076, Masters,14, Exec-managerial,0,0,70, >50K
240, Private,115458, HS-grad,9, Transport-moving,0,0,40, <=50K
241, Private,347890, Bachelors,13, Prof-specialty,0,0,40, >50K
242, Self-emp-not-inc,196001, HS-grad,9, Other-service,0,0,20, <=50K
243, State-gov,273905, Assoc-acdm,12, Protective-serv,0,0,50, <=50K
244, ?,119156, Some-college,10, ?,0,0,20, <=50K
245, Private,179488, Some-college,10, Craft-repair,0,1741,40, <=50K
246, Private,203580, HS-grad,9, Adm-clerical,0,0,35, <=50K
247, Private,236596, HS-grad,9, Adm-clerical,0,0,45, >50K
248, Private,183916, HS-grad,9, Other-service,0,0,34, <=50K
249, Private,207578, Assoc-acdm,12, Tech-support,0,1977,60, >50K
250, Private,153141, HS-grad,9, Adm-clerical,0,0,40, <=50K
251, Private,112763, Prof-school,15, Prof-specialty,0,0,40, >50K
252, Private,390781, Bachelors,13, Adm-clerical,0,0,40, <=50K
253, Local-gov,171328, 10th,6, Other-service,0,0,30, <=50K
254, Local-gov,27382, Some-college,10, Adm-clerical,0,0,40, <=50K
255, Private,259014, Some-college,10, Transport-moving,0,0,20, <=50K
256, Self-emp-not-inc,303044, HS-grad,9, Farming-fishing,0,0,40, >50K
257, Private,117789, HS-grad,9, Other-service,0,0,40, <=50K
258, Private,172579, HS-grad,9, Other-service,0,0,30, <=50K
259, Private,187666, Assoc-voc,11, Exec-managerial,0,0,45, <=50K
260, Private,204518, 7th-8th,4, Craft-repair,0,0,40, <=50K
261, Private,150042, Bachelors,13, Prof-specialty,0,0,40, <=50K
262, Private,98092, HS-grad,9, Sales,0,0,60, <=50K
263, Private,245918, 11th,7, Other-service,0,0,12, <=50K
264, Private,146013, Some-college,10, Sales,4064,0,40, <=50K
265, Private,378322, 11th,7, Craft-repair,0,0,40, <=50K
266, Self-emp-inc,257295, Some-college,10, Exec-managerial,0,0,75, >50K
267, ?,218956, Some-college,10, ?,0,0,24, <=50K
268, Private,21174, HS-grad,9, Exec-managerial,0,0,40, >50K
269, Private,185480, Bachelors,13, Prof-specialty,0,0,45, <=50K
270, Private,222205, HS-grad,9, Craft-repair,0,0,40, >50K
271, Private,69867, HS-grad,9, Exec-managerial,0,0,40, >50K
272, Private,191260, 9th,5, Other-service,1055,0,24, <=50K
273, Self-emp-not-inc,30653, Masters,14, Farming-fishing,2407,0,98, <=50K
274, Local-gov,209109, Masters,14, Prof-specialty,0,0,35, <=50K
275, Private,70377, HS-grad,9, Prof-specialty,0,0,40, <=50K
276, Private,477983, HS-grad,9, Handlers-cleaners,0,0,40, <=50K
277, Private,170924, Some-college,10, Craft-repair,7298,0,40, >50K
278, Private,190174, Some-college,10, Exec-managerial,0,0,40, <=50K
279, Private,193787, Some-college,10, Tech-support,0,0,40, <=50K
280, Private,279472, Some-college,10, Machine-op-inspct,7298,0,48, >50K
281, Private,34918, Bachelors,13, Prof-specialty,0,0,15, <=50K
282, Local-gov,97688, Some-college,10, Craft-repair,5178,0,40, >50K
283, Private,175413, Assoc-acdm,12, Sales,0,0,45, <=50K
284, Private,173960, Bachelors,13, Prof-specialty,0,0,42, <=50K
285, Private,205759, HS-grad,9, Handlers-cleaners,0,0,40, <=50K
286, Federal-gov,425161, Masters,14, Sales,15024,0,40, >50K
287, Private,220531, Prof-school,15, Prof-specialty,0,0,60, >50K
288, Private,176609, Some-college,10, Other-service,0,0,45, <=50K
289, Private,371987, Bachelors,13, Exec-managerial,0,0,40, <=50K
290, Private,193884, 7th-8th,4, Craft-repair,0,0,40, <=50K
291, Private,200352, Bachelors,13, Prof-specialty,0,0,45, <=50K
292, Private,127595, HS-grad,9, Prof-specialty,0,0,40, <=50K
293, Local-gov,220419, Bachelors,13, Protective-serv,0,0,56, <=50K
294, Private,231931, Some-college,10, Sales,0,0,45, <=50K
295, Private,248402, Bachelors,13, Tech-support,0,0,40, <=50K
296, Private,111095, HS-grad,9, Transport-moving,0,0,16, <=50K
297, Self-emp-inc,57424, Bachelors,13, Sales,0,0,60, <=50K
298, ?,157443, Masters,14, ?,3464,0,40, <=50K
299, Private,278130, HS-grad,9, Craft-repair,0,0,40, <=50K
300, Private,169469, HS-grad,9, Sales,0,0,80, <=50K
301, Private,146268, Bachelors,13, Adm-clerical,7688,0,40, >50K
302, Private,153718, Some-college,10, Other-service,0,0,25, <=50K
303, Private,217460, HS-grad,9, Transport-moving,0,0,45, >50K
304, Private,238638, HS-grad,9, Sales,4386,0,40, >50K
305, Private,303296, Some-college,10, Adm-clerical,0,0,40, <=50K
306, Private,173321, HS-grad,9, Adm-clerical,0,0,40, <=50K
307, Private,193945, Assoc-acdm,12, Tech-support,0,0,45, <=50K
308, Private,83082, Assoc-acdm,12, Prof-specialty,0,0,33, <=50K
309, Private,193815, Assoc-acdm,12, Adm-clerical,0,0,40, >50K
310, Self-emp-inc,34987, Some-college,10, Farming-fishing,0,0,54, >50K
311, Private,59306, Bachelors,13, Sales,0,0,40, <=50K
312, Private,142897, Masters,14, Exec-managerial,7298,0,35, >50K
313, ?,860348, Some-college,10, ?,0,0,25, <=50K
314, Self-emp-not-inc,205607, Bachelors,13, Prof-specialty,0,0,40, >50K
315, Private,199698, Some-college,10, Sales,0,0,15, <=50K
316, Private,191954, Some-college,10, Machine-op-inspct,0,0,40, <=50K
317, Self-emp-not-inc,138714, Some-college,10, Sales,0,0,40, <=50K
318, Private,399087, 5th-6th,3, Machine-op-inspct,0,0,40, <=50K
319, Private,423158, Some-college,10, Tech-support,0,0,40, <=50K
320, Private,159841, HS-grad,9, Other-service,0,0,24, <=50K
321, Self-emp-not-inc,174308, HS-grad,9, Exec-managerial,0,0,40, <=50K
322, Private,50356, Some-college,10, Craft-repair,0,1485,50, <=50K
323, Private,186110, HS-grad,9, Transport-moving,0,0,45, <=50K
324, Private,200381, 11th,7, Exec-managerial,0,0,40, <=50K
325, Self-emp-not-inc,174309, Masters,14, Craft-repair,0,0,10, <=50K
326, Self-emp-not-inc,78383, HS-grad,9, Farming-fishing,0,0,45, <=50K
327, ?,211601, Assoc-voc,11, ?,0,0,15, <=50K
328, Private,187728, Some-college,10, Prof-specialty,0,1887,50, >50K
329, Self-emp-not-inc,321171, HS-grad,9, Handlers-cleaners,0,0,40, <=50K
330, Private,127921, HS-grad,9, Transport-moving,2050,0,55, <=50K
331, Private,206565, Some-college,10, Craft-repair,0,0,45, <=50K
332, Private,224563, Bachelors,13, Adm-clerical,0,0,40, <=50K
333, Private,178686, Assoc-voc,11, Other-service,0,0,40, <=50K
334, Local-gov,98545, 10th,6, Adm-clerical,0,0,40, <=50K
335, Private,242606, HS-grad,9, Transport-moving,0,0,40, <=50K
336, Private,270942, 5th-6th,3, Other-service,0,0,48, <=50K
337, Private,94235, HS-grad,9, Craft-repair,0,0,40, <=50K
338, Private,71195, Masters,14, Prof-specialty,0,0,60, <=50K
339, Private,104112, HS-grad,9, Sales,0,0,30, <=50K
340, Private,261192, HS-grad,9, Other-service,0,0,40, <=50K
341, Private,94936, Assoc-acdm,12, Sales,0,0,40, <=50K
342, Private,296478, Assoc-voc,11, Craft-repair,7298,0,40, >50K
343, State-gov,119272, HS-grad,9, Protective-serv,7298,0,40, >50K
344, Private,85043, HS-grad,9, Farming-fishing,0,0,20, <=50K
345, State-gov,293364, Some-college,10, Protective-serv,0,0,40, <=50K
346, Self-emp-not-inc,241895, Bachelors,13, Sales,0,0,42, <=50K
347, ?,36135, 11th,7, ?,0,0,8, <=50K
348, ?,151989, Assoc-voc,11, ?,0,0,40, <=50K
349, Private,101128, Assoc-acdm,12, Other-service,0,0,25, <=50K
350, Private,156464, Bachelors,13, Prof-specialty,0,0,25, <=50K
351, Private,117963, Bachelors,13, Exec-managerial,0,0,40, >50K
352, Private,192262, HS-grad,9, Other-service,0,0,40, <=50K
353, Private,111363, Bachelors,13, Exec-managerial,0,0,40, >50K
354, Local-gov,329752, 11th,7, Transport-moving,0,0,30, <=50K
355, ?,372020, Bachelors,13, ?,0,0,40, >50K
356, Federal-gov,95432, HS-grad,9, Adm-clerical,0,0,40, >50K
357, Private,161400, 11th,7, Other-service,0,0,40, <=50K
358, Private,96129, Assoc-voc,11, Tech-support,0,0,40, >50K
359, Private,111949, HS-grad,9, Adm-clerical,0,0,35, <=50K
360, Self-emp-not-inc,117125, 9th,5, Craft-repair,0,0,40, <=50K
361, Private,348022, 10th,6, Other-service,0,0,24, <=50K
362, Private,270092, Masters,14, Prof-specialty,0,0,40, >50K
363, Private,180609, Bachelors,13, Transport-moving,0,0,45, <=50K
364, Private,174575, Bachelors,13, Exec-managerial,0,1564,45, >50K
365, Private,410439, HS-grad,9, Sales,0,0,55, <=50K
366, Private,92262, HS-grad,9, Craft-repair,0,0,40, <=50K
367, Self-emp-not-inc,183081, Some-college,10, Sales,0,0,45, <=50K
368, Private,362589, Assoc-acdm,12, Sales,0,0,15, <=50K
369, Private,212448, Bachelors,13, Exec-managerial,0,0,45, >50K
370, Private,481060, HS-grad,9, Sales,0,0,40, <=50K
371, Federal-gov,185885, Some-college,10, Adm-clerical,0,0,15, <=50K
372, Private,89821, 11th,7, Other-service,0,0,10, <=50K
373, State-gov,184018, Assoc-voc,11, Machine-op-inspct,0,0,38, >50K
374, Private,256649, HS-grad,9, Machine-op-inspct,0,0,40, <=50K
375, Private,160323, HS-grad,9, Craft-repair,0,0,40, <=50K
376, Local-gov,350845, Some-college,10, Adm-clerical,0,0,10, <=50K
377, Private,267404, HS-grad,9, Craft-repair,0,0,40, <=50K
378, Private,35633, Some-college,10, Sales,0,0,40, <=50K
379, Self-emp-not-inc,80914, Masters,14, Exec-managerial,0,0,30, <=50K
380, Private,172927, HS-grad,9, Sales,0,0,50, <=50K
381, Private,174319, HS-grad,9, Transport-moving,0,0,40, <=50K
382, Private,214955, 5th-6th,3, Craft-repair,0,2339,45, <=50K
383, Private,344991, Some-college,10, Craft-repair,0,0,40, <=50K
384, Private,108699, Some-college,10, Sales,0,0,40, <=50K
385, Local-gov,117312, Some-college,10, Transport-moving,0,0,40, <=50K
386, Private,396099, HS-grad,9, Other-service,0,0,25, <=50K
387, Private,134152, HS-grad,9, Machine-op-inspct,0,0,40, <=50K
388, Private,162028, Some-college,10, Adm-clerical,0,2415,6, >50K
389, Private,25429, Some-college,10, Adm-clerical,0,0,16, <=50K
390, Private,232392, HS-grad,9, Other-service,0,0,40, <=50K
391, Private,220098, HS-grad,9, Other-service,0,0,40, >50K
392, Private,301302, Bachelors,13, Craft-repair,0,0,50, <=50K
393, Self-emp-not-inc,277946, Assoc-acdm,12, Craft-repair,0,0,40, <=50K
394, State-gov,98101, Bachelors,13, Exec-managerial,7688,0,45, >50K
395, Private,196164, HS-grad,9, Other-service,0,0,35, <=50K
396, Private,115562, Some-college,10, Tech-support,0,0,40, <=50K
397, Private,96975, Some-college,10, Handlers-cleaners,0,0,40, <=50K
398, ?,137300, HS-grad,9, ?,0,0,35, <=50K
399, Private,86872, Bachelors,13, Exec-managerial,0,0,55, >50K
400, Self-emp-inc,132178, Bachelors,13, Exec-managerial,0,0,50, >50K
401, Private,416103, Some-college,10, Handlers-cleaners,0,0,40, <=50K
402, Private,108574, Some-college,10, Other-service,0,0,40, <=50K
403, State-gov,288353, Bachelors,13, Protective-serv,0,0,40, >50K
